ImageID	filename	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	ManuscriptID	NameID	Name	Digitized in Rose Digital Library	Online Repository	Digital Manuscript Link	Country	Locality	Institution	Shelfmark	Latitude	Longitude	PlaceID	Origin	Material	Number of folios	Height mm	Width mm	Area mm	Leaves per gathering	Lines per column	Number of illustrations	Date start	Date end	DateCombined	Columns per folio	Texts	Folios with 1 illustration	Folios with More than 1 illustration	Folios with at least one illustration	Folios with at least one illustration	Shelfmark	Olim		Langlois	Notes
Man073_f037	Man073_f037.JPEG	201	38.4859	73	30.6451	30	13.8625	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f038	Man073_f038.JPEG	186	38.346	97	34.3872	28	9.7109	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f039	Man073_f039.JPEG	198	34.5706	68	26.4821	30	10.0458	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f040	Man073_f040.JPEG	218	26.1473	2	44.4557	26	18.6968	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f041	Man073_f041.JPEG	212	25.056	73	23.6302	30	11.8815	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f042	Man073_f042.JPEG	201	36.5618	73	27.6379	27	28.3535	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f043	Man073_f043.JPEG	195	39.7264	86	29.0853	30	13.2306	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f044	Man073_f044.JPEG	198	35.6826	70	27.7012	30	9.611	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f045	Man073_f045.JPEG	198	39.2277	87	28.1781	29	12.5514	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f046	Man073_f046.JPEG	191	37.994	73	25.0137	28	10.8432	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f047	Man073_f047.JPEG	193	37.2374	78	32.4251	28	12.9766	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f048	Man073_f048.JPEG	194	33.9621	96	31.5175	28	9.4117	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f049	Man073_f049.JPEG	199	39.6056	72	25.0058	29	9.4626	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f050	Man073_f050.JPEG	200	23.7784	85	41.9598	29	11.5236	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f051	Man073_f051.JPEG	200	32.3761	88	30.3415	30	13.8145	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f052	Man073_f052.JPEG	201	36.443	77	29.6797	29	11.5244	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f053	Man073_f053.JPEG	196	38.5259	85	28.3447	28	10.6024	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f054	Man073_f054.JPEG	204	30.4021	74	26.057	30	12.5048	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f055	Man073_f055.JPEG	195	36.4028	73	30.4164	28	11.2513	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f056	Man073_f056.JPEG	204	31.7108	72	47.4685	26	17.6494	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f057	Man073_f057.JPEG	197	38.1274	73	31.3634	28	19.5808	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f058	Man073_f058.JPEG	194	36.0522	92	44.8067	28	10.9152	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
